DATE,PRCP,TAVG,state,status
1/6/1981,36.1,25.8,Sabah,no flood
1/12/1981,16,23.7,Sabah,no flood
18/1/1981,5.1,25.4,Sabah,no flood
21/1/1981,0,26.7,Sabah,no flood
22/1/1981,11.9,26.2,Sabah,no flood
2/9/1981,0,26.6,Sabah,no flood
16/2/1981,0,26.8,Sabah,no flood
18/2/1981,0,27.2,Sabah,no flood
24/2/1981,0,26.9,Sabah,no flood
25/2/1981,0.5,26.3,Sabah,no flood
3/3/1981,0,27.8,Sabah,no flood
3/5/1981,0,27.4,Sabah,no flood
3/8/1981,0,26.2,Sabah,no flood
3/10/1981,0,27.4,Sabah,no flood
3/11/1981,0,27.6,Sabah,no flood
3/12/1981,0,27.6,Sabah,no flood
13/3/1981,0,26.5,Sabah,no flood
15/3/1981,0,27.6,Sabah,no flood
4/7/1981,0,26.9,Sabah,no flood
19/4/1981,0,29.8,Sabah,no flood
20/4/1981,0,27.7,Sabah,no flood
5/2/1981,23.9,28.6,Sabah,no flood
5/5/1981,10.9,28.2,Sabah,no flood
18/5/1981,0.3,29.6,Sabah,no flood
20/5/1981,0,28.9,Sabah,no flood
24/5/1981,4.1,25.1,Sabah,no flood
28/5/1981,1,29,Sabah,no flood
13/6/1981,0,29.4,Sabah,no flood
14/6/1981,0,28.9,Sabah,no flood
21/6/1981,1,27.9,Sabah,no flood
7/8/1981,0,28.1,Sabah,no flood
13/7/1981,0,25.8,Sabah,no flood
14/7/1981,140,27.6,Sabah,no flood
30/7/1981,42.9,27.5,Sabah,no flood
8/7/1981,0,27.7,Sabah,no flood
16/8/1981,21.1,26.9,Sabah,no flood
20/8/1981,0,27.8,Sabah,no flood
13/9/1981,2,27.4,Sabah,no flood
29/9/1981,0,27.4,Sabah,no flood
30/9/1981,0,30.1,Sabah,no flood
17/10/1981,8.9,26.1,Sabah,no flood
20/10/1981,0,27.2,Sabah,no flood
31/10/1981,0,27,Sabah,no flood
23/11/1981,0,27.1,Sabah,no flood
12/7/1981,4.1,27.6,Sabah,no flood
12/11/1981,3,27.3,Sabah,no flood
12/12/1981,0,28.4,Sabah,no flood
16/12/1981,0,26.7,Sabah,no flood
17/12/1981,0,26.9,Sabah,no flood
1/11/1982,0.5,27.3,Sabah,no flood
29/1/1982,0,24.7,Sabah,no flood
26/2/1982,0.3,27.6,Sabah,no flood
3/7/1982,0,26,Sabah,no flood
3/8/1982,5.1,26.1,Sabah,no flood
3/9/1982,7.1,26.8,Sabah,no flood
17/3/1982,0,27.6,Sabah,no flood
19/3/1982,0,28.1,Sabah,no flood
28/3/1982,0,27.2,Sabah,no flood
29/3/1982,0,27.9,Sabah,no flood
4/2/1982,0,28.2,Sabah,no flood
4/3/1982,0,29.4,Sabah,no flood
4/7/1982,0,27.7,Sabah,no flood
21/4/1982,0,27.8,Sabah,no flood
23/4/1982,0,27.3,Sabah,no flood
28/4/1982,91.9,27.4,Sabah,no flood
30/4/1982,0,27.9,Sabah,no flood
5/5/1982,0,27.7,Sabah,no flood
5/11/1982,0.3,27.8,Sabah,no flood
5/12/1982,0,28.7,Sabah,no flood
16/5/1982,8.9,27.3,Sabah,no flood
21/5/1982,0.5,28.1,Sabah,no flood
6/4/1982,3,29,Sabah,no flood
6/7/1982,13,26.5,Sabah,no flood
6/8/1982,2,27.9,Sabah,no flood
14/6/1982,1,27.8,Sabah,no flood
7/6/1982,0,27.5,Sabah,no flood
23/7/1982,0,27.8,Sabah,no flood
8/2/1982,0,28.8,Sabah,no flood
8/7/1982,0,27.4,Sabah,no flood
19/8/1982,0,27.7,Sabah,no flood
23/8/1982,0,25.4,Sabah,no flood
30/8/1982,0,28,Sabah,no flood
9/7/1982,0,27.5,Sabah,no flood
9/11/1982,0,27.2,Sabah,no flood
16/9/1982,0,28,Sabah,no flood
10/3/1982,0,27.3,Sabah,no flood
10/11/1982,0,26.6,Sabah,no flood
22/10/1982,0,26.9,Sabah,no flood
23/10/1982,0,28.3,Sabah,no flood
27/10/1982,21.1,27.9,Sabah,no flood
11/3/1982,0.3,27.2,Sabah,no flood
11/5/1982,11.9,26.7,Sabah,no flood
27/11/1982,0,28.1,Sabah,no flood
29/11/1982,0,28.3,Sabah,no flood
12/9/1982,0,27.9,Sabah,no flood
25/12/1982,0,28.4,Sabah,no flood
29/12/1982,5.1,27.6,Sabah,no flood
30/12/1982,5.1,27.5,Sabah,no flood
15/1/1983,0,26.1,Sabah,no flood
16/1/1983,0,26.3,Sabah,no flood
26/1/1983,0,27.1,Sabah,no flood
30/1/1983,0,27.9,Sabah,no flood
31/1/1983,0,28.5,Sabah,no flood
2/2/1983,0,28.3,Sabah,no flood
2/4/1983,0,28,Sabah,no flood
2/7/1983,0,27.2,Sabah,no flood
2/8/1983,0,27.2,Sabah,no flood
2/12/1983,0,28.8,Sabah,no flood
22/2/1983,0,28.5,Sabah,no flood
26/2/1983,0,28.4,Sabah,no flood
3/3/1983,0,28.7,Sabah,no flood
14/3/1983,0,28.9,Sabah,no flood
4/8/1983,0,28.2,Sabah,no flood
20/4/1983,0,29.2,Sabah,no flood
24/4/1983,0.3,30.4,Sabah,no flood
25/4/1983,0,29.7,Sabah,no flood
6/7/1983,0,26.3,Sabah,no flood
6/8/1983,29,28.6,Sabah,no flood
18/6/1983,0,28.1,Sabah,no flood
17/7/1983,0,28.6,Sabah,no flood
26/7/1983,0,29.2,Sabah,no flood
8/12/1983,0.5,28.6,Sabah,no flood
19/8/1983,0,29.1,Sabah,no flood
20/8/1983,18,27.2,Sabah,no flood
21/8/1983,3,27.3,Sabah,no flood
22/8/1983,0,28.6,Sabah,no flood
23/8/1983,14,28.2,Sabah,no flood
29/8/1983,19.1,26.9,Sabah,no flood
9/1/1983,0.3,27.8,Sabah,no flood
9/2/1983,0,25.9,Sabah,no flood
9/3/1983,36.1,28,Sabah,no flood
9/8/1983,0,27.8,Sabah,no flood
13/9/1983,5.1,27.4,Sabah,no flood
14/9/1983,0,25.5,Sabah,no flood
16/9/1983,4.1,27.2,Sabah,no flood
19/9/1983,0,27.9,Sabah,no flood
20/9/1983,11.9,26.3,Sabah,no flood
29/9/1983,0,27.4,Sabah,no flood
14/10/1983,36.1,28.4,Sabah,no flood
11/4/1983,0,27.8,Sabah,no flood
11/5/1983,3,27.3,Sabah,no flood
11/7/1983,3,27.2,Sabah,no flood
16/11/1983,36.1,26.4,Sabah,no flood
20/11/1983,0.3,27.6,Sabah,no flood
29/11/1983,9.9,25.9,Sabah,no flood
1/9/1984,0,27.1,Sabah,no flood
13/1/1984,0,26.2,Sabah,no flood
14/1/1984,2,26.1,Sabah,no flood
15/1/1984,11.9,25,Sabah,no flood
20/1/1984,2,26.9,Sabah,no flood
24/1/1984,24.9,26,Sabah,no flood
2/2/1984,0,25.3,Sabah,no flood
2/9/1984,0,26.6,Sabah,no flood
26/2/1984,0.3,27.4,Sabah,no flood
3/5/1984,0,27.4,Sabah,no flood
3/6/1984,0,26.4,Sabah,no flood
3/8/1984,0,27.3,Sabah,no flood
3/12/1984,1,26,Sabah,no flood
14/3/1984,0,27.4,Sabah,no flood
24/3/1984,0,27.7,Sabah,no flood
4/2/1984,0,27.9,Sabah,no flood
17/4/1984,13,25.9,Sabah,no flood
22/4/1984,2,26.8,Sabah,no flood
29/4/1984,7.1,27.2,Sabah,no flood
5/11/1984,0.3,27.3,Sabah,no flood
17/5/1984,4.1,26.1,Sabah,no flood
18/5/1984,1,26.9,Sabah,no flood
27/5/1984,256,27.2,Sabah,no flood
6/5/1984,0,26,Sabah,no flood
30/6/1984,0,28.1,Sabah,no flood
13/7/1984,4.1,26.2,Sabah,no flood
15/7/1984,23.9,27.1,Sabah,no flood
8/1/1984,0,29.1,Sabah,no flood
8/2/1984,0,28.7,Sabah,no flood
8/5/1984,15,27.6,Sabah,no flood
8/9/1984,0,27.3,Sabah,no flood
16/8/1984,0,27.7,Sabah,no flood
19/8/1984,2,27.7,Sabah,no flood
9/2/1984,1,27.4,Sabah,no flood
9/6/1984,62,26.4,Sabah,no flood
10/12/1984,1,26.2,Sabah,no flood
13/10/1984,0,26.6,Sabah,no flood
16/10/1984,6.1,26.8,Sabah,no flood
17/10/1984,0,25.3,Sabah,no flood
18/10/1984,16,25.9,Sabah,no flood
19/10/1984,0,26.8,Sabah,no flood
24/10/1984,50,25.8,Sabah,no flood
18/11/1984,26.9,26.2,Sabah,no flood
19/11/1984,3,27.5,Sabah,no flood
21/11/1984,0,26.9,Sabah,no flood
12/3/1984,57.9,27.3,Sabah,no flood
16/12/1984,16,27.2,Sabah,no flood
1/10/1985,0,25.6,Sabah,no flood
13/1/1985,0,25.9,Sabah,no flood
18/1/1985,0,27.1,Sabah,no flood
23/1/1985,0,25.4,Sabah,no flood
29/1/1985,0,27.5,Sabah,no flood
2/12/1985,0,27.9,Sabah,no flood
3/11/1985,0,27.8,Sabah,no flood
3/12/1985,0,28,Sabah,no flood
19/3/1985,0,27.6,Sabah,no flood
21/3/1985,0,27.8,Sabah,no flood
22/3/1985,0.3,27.4,Sabah,no flood
25/3/1985,17,26.9,Sabah,no flood
